OrderID,EmployeeName,CustomerCompany,OrderDate,ShippedDate,ShipperCompany,ShipName,ShipAddress,ShipCity,ShipState,ShipZIP,ShipCountry,ShippingFee,Taxes,PaymentType,PaidDate,Notes,TaxRate,TaxStatus,StatusName,CustomerID,CustomerName,CustomerCountry,CustomerCity,CustomerState,CustomerZIP,EmployeeID,EmployeeTitle,EmployeeEmail,ShipperID,ProductID,ProductName,CategoryName,UnitPrice,Quantity,Discount,LineTotal,InvoiceDate,DueDate,InvoiceTax,InvoiceShipping,AmountDue,OrderYear,OrderMonth,OrderQuarter,Year,Month,Quarter,DayOfWeek,MonthName,DeliveryDays,WasShipped,AmountCategory
30,Anne Hellung-Larsen,Company AA,2006-01-15 00:00:00,2006-01-22 00:00:00,Shipping Company B,Karen Toh,789 27th Street,Las Vegas,NV,99999,USA,200,0,Check,2006-01-15 00:00:00,Inconnu,0,Non-taxable,Closed,27,Karen Toh,USA,Las Vegas,NV,99999,9,Sales Representative,anne@northwindtraders.com,2.0,52,Northwind Traders Long Grain Rice,Grains,7.0,10,0.0,70.0,2006-03-24 11:03:00,2006-04-23 11:03:00,0.0,0.0,0.0,2006,1,1,2006,1,1,6,January,7,True,Petit
30,Anne Hellung-Larsen,Company AA,2006-01-15 00:00:00,2006-01-22 00:00:00,Shipping Company B,Karen Toh,789 27th Street,Las Vegas,NV,99999,USA,200,0,Check,2006-01-15 00:00:00,Inconnu,0,Non-taxable,Closed,27,Karen Toh,USA,Las Vegas,NV,99999,9,Sales Representative,anne@northwindtraders.com,2.0,94,Northwind Traders Peas,Canned Fruit & Vegetables,1.5,4,0.1,5.4,2006-03-24 11:03:00,2006-04-23 11:03:00,0.0,0.0,0.0,2006,1,1,2006,1,1,6,January,7,True,Petit
30,Anne Hellung-Larsen,Company AA,2006-01-15 00:00:00,2006-01-22 00:00:00,Shipping Company B,Karen Toh,789 27th Street,Las Vegas,NV,99999,USA,200,0,Check,2006-01-15 00:00:00,Inconnu,0,Non-taxable,Closed,27,Karen Toh,USA,Las Vegas,NV,99999,9,Sales Representative,anne@northwindtraders.com,2.0,5,Northwind Traders Olive Oil,Oil,21.35,7,0.15,127.0325,2006-03-24 11:03:00,2006-04-23 11:03:00,0.0,0.0,0.0,2006,1,1,2006,1,1,6,January,7,True,Moyen
31,Jan Kotas,Company D,2006-01-20 00:00:00,2006-01-22 00:00:00,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,5,0,Credit Card,2006-01-20 00:00:00,Inconnu,0,Non-taxable,Closed,4,Christina Lee,USA,New York,NY,99999,3,Sales Representative,jan@northwindtraders.com,1.0,85,Northwind Traders Brownie Mix,Baked Goods & Mixes,12.49,2,0.15,21.233,2006-03-22 16:08:59,2006-04-21 16:08:59,0.0,0.0,0.0,2006,1,1,2006,1,1,4,January,2,True,Petit
32,Mariya Sergienko,Company L,2006-01-22 00:00:00,2006-01-22 00:00:00,Shipping Company B,John Edwards,123 12th Street,Las Vegas,NV,99999,USA,5,0,Credit Card,2006-01-22 00:00:00,Inconnu,0,Non-taxable,Closed,12,John Edwards,USA,Las Vegas,NV,99999,4,Sales Representative,mariya@northwindtraders.com,2.0,40,Northwind Traders Crab Meat,Canned Meat,18.4,3,0.1,49.68,2006-03-22 16:10:27,2006-04-21 16:10:27,0.0,0.0,0.0,2006,1,1,2006,1,1,6,January,0,True,Petit
33,Michael Neipper,Company H,2006-01-30 00:00:00,2006-01-31 00:00:00,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,50,0,Credit Card,2006-01-30 00:00:00,Inconnu,0,Non-taxable,Closed,8,Elizabeth Andersen,USA,Portland,OR,99999,6,Sales Representative,michael@northwindtraders.com,3.0,20,Northwind Traders Marmalade,"Jams, Preserves",81.0,4,0.1,291.6,2006-03-24 11:02:02,2006-04-23 11:02:02,0.0,0.0,0.0,2006,1,1,2006,1,1,0,January,1,True,Moyen
33,Michael Neipper,Company H,2006-01-30 00:00:00,2006-01-31 00:00:00,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,50,0,Credit Card,2006-01-30 00:00:00,Inconnu,0,Non-taxable,Closed,8,Elizabeth Andersen,USA,Portland,OR,99999,6,Sales Representative,michael@northwindtraders.com,3.0,85,Northwind Traders Brownie Mix,Baked Goods & Mixes,12.49,9,0.05,106.7895,2006-03-24 11:02:02,2006-04-23 11:02:02,0.0,0.0,0.0,2006,1,1,2006,1,1,0,January,1,True,Moyen
33,Michael Neipper,Company H,2006-01-30 00:00:00,2006-01-31 00:00:00,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,50,0,Credit Card,2006-01-30 00:00:00,Inconnu,0,Non-taxable,Closed,8,Elizabeth Andersen,USA,Portland,OR,99999,6,Sales Representative,michael@northwindtraders.com,3.0,96,Northwind Traders Smoked Salmon,Canned Meat,4.0,10,0.1,36.0,2006-03-24 11:02:02,2006-04-23 11:02:02,0.0,0.0,0.0,2006,1,1,2006,1,1,0,January,1,True,Petit
34,Anne Hellung-Larsen,Company D,2006-02-06 00:00:00,2006-02-07 00:00:00,Shipping Company C,Christina Lee,123 4th Street,New York,NY,99999,USA,4,0,Check,2006-02-06 00:00:00,Inconnu,0,Non-taxable,Closed,4,Christina Lee,USA,New York,NY,99999,9,Sales Representative,anne@northwindtraders.com,3.0,66,Northwind Traders Tomato Sauce,Sauces,17.0,10,0.0,170.0,2006-03-24 11:00:55,2006-04-23 11:00:55,0.0,0.0,0.0,2006,2,1,2006,2,1,0,February,1,True,Moyen
34,Anne Hellung-Larsen,Company D,2006-02-06 00:00:00,2006-02-07 00:00:00,Shipping Company C,Christina Lee,123 4th Street,New York,NY,99999,USA,4,0,Check,2006-02-06 00:00:00,Inconnu,0,Non-taxable,Closed,4,Christina Lee,USA,New York,NY,99999,9,Sales Representative,anne@northwindtraders.com,3.0,41,Northwind Traders Clam Chowder,Soups,9.65,1,0.15,8.2025,2006-03-24 11:00:55,2006-04-23 11:00:55,0.0,0.0,0.0,2006,2,1,2006,2,1,0,February,1,True,Petit
34,Anne Hellung-Larsen,Company D,2006-02-06 00:00:00,2006-02-07 00:00:00,Shipping Company C,Christina Lee,123 4th Street,New York,NY,99999,USA,4,0,Check,2006-02-06 00:00:00,Inconnu,0,Non-taxable,Closed,4,Christina Lee,USA,New York,NY,99999,9,Sales Representative,anne@northwindtraders.com,3.0,72,Northwind Traders Mozzarella,Dairy Products,34.8,2,0.15,59.16,2006-03-24 11:00:55,2006-04-23 11:00:55,0.0,0.0,0.0,2006,2,1,2006,2,1,0,February,1,True,Petit
35,Jan Kotas,Company CC,2006-02-10 00:00:00,2006-02-12 00:00:00,Shipping Company B,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,7,0,Check,2006-02-10 00:00:00,Inconnu,0,Non-taxable,Closed,29,Soo Jung Lee,USA,Denver,CO,99999,3,Sales Representative,jan@northwindtraders.com,2.0,65,Northwind Traders Hot Pepper Sauce,Sauces,21.05,3,0.1,56.83500000000001,2006-03-24 10:59:41,2006-04-23 10:59:41,0.0,0.0,0.0,2006,2,1,2006,2,1,4,February,2,True,Petit
35,Jan Kotas,Company CC,2006-02-10 00:00:00,2006-02-12 00:00:00,Shipping Company B,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,7,0,Check,2006-02-10 00:00:00,Inconnu,0,Non-taxable,Closed,29,Soo Jung Lee,USA,Denver,CO,99999,3,Sales Representative,jan@northwindtraders.com,2.0,19,Northwind Traders Chocolate Biscuits Mix,Baked Goods & Mixes,9.2,5,0.15,39.1,2006-03-24 10:59:41,2006-04-23 10:59:41,0.0,0.0,0.0,2006,2,1,2006,2,1,4,February,2,True,Petit
35,Jan Kotas,Company CC,2006-02-10 00:00:00,2006-02-12 00:00:00,Shipping Company B,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,7,0,Check,2006-02-10 00:00:00,Inconnu,0,Non-taxable,Closed,29,Soo Jung Lee,USA,Denver,CO,99999,3,Sales Representative,jan@northwindtraders.com,2.0,48,Northwind Traders Chocolate,Candy,12.75,10,0.0,127.5,2006-03-24 10:59:41,2006-04-23 10:59:41,0.0,0.0,0.0,2006,2,1,2006,2,1,4,February,2,True,Moyen
36,Mariya Sergienko,Company C,2006-02-23 00:00:00,2006-02-25 00:00:00,Shipping Company B,Thomas Axen,123 3rd Street,Los Angelas,CA,99999,USA,7,0,Cash,2006-02-23 00:00:00,Inconnu,0,Non-taxable,Closed,3,Thomas Axen,USA,Los Angelas,CA,99999,4,Sales Representative,mariya@northwindtraders.com,2.0,5,Northwind Traders Olive Oil,Oil,21.35,1,0.1,19.215000000000003,2006-03-24 10:58:40,2006-04-23 10:58:40,0.0,0.0,0.0,2006,2,1,2006,2,1,3,February,2,True,Petit
36,Mariya Sergienko,Company C,2006-02-23 00:00:00,2006-02-25 00:00:00,Shipping Company B,Thomas Axen,123 3rd Street,Los Angelas,CA,99999,USA,7,0,Cash,2006-02-23 00:00:00,Inconnu,0,Non-taxable,Closed,3,Thomas Axen,USA,Los Angelas,CA,99999,4,Sales Representative,mariya@northwindtraders.com,2.0,7,Northwind Traders Dried Pears,Dried Fruit & Nuts,30.0,1,0.05,28.5,2006-03-24 10:58:40,2006-04-23 10:58:40,0.0,0.0,0.0,2006,2,1,2006,2,1,3,February,2,True,Petit
37,Laura Giussani,Company F,2006-03-06 00:00:00,2006-03-09 00:00:00,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,12,0,Credit Card,2006-03-06 00:00:00,Inconnu,0,Non-taxable,Closed,6,Francisco Pérez-Olaeta,USA,Milwaukee,WI,99999,8,Sales Coordinator,laura@northwindtraders.com,2.0,93,Northwind Traders Corn,Canned Fruit & Vegetables,1.2,2,0.0,2.4,2006-03-24 10:57:38,2006-04-23 10:57:38,0.0,0.0,0.0,2006,3,1,2006,3,1,0,March,3,True,Petit
37,Laura Giussani,Company F,2006-03-06 00:00:00,2006-03-09 00:00:00,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,12,0,Credit Card,2006-03-06 00:00:00,Inconnu,0,Non-taxable,Closed,6,Francisco Pérez-Olaeta,USA,Milwaukee,WI,99999,8,Sales Coordinator,laura@northwindtraders.com,2.0,95,Northwind Traders Tuna Fish,Canned Meat,2.0,6,0.15,10.2,2006-03-24 10:57:38,2006-04-23 10:57:38,0.0,0.0,0.0,2006,3,1,2006,3,1,0,March,3,True,Petit
37,Laura Giussani,Company F,2006-03-06 00:00:00,2006-03-09 00:00:00,Shipping Company B,Francisco Pérez-Olaeta,123 6th Street,Milwaukee,WI,99999,USA,12,0,Credit Card,2006-03-06 00:00:00,Inconnu,0,Non-taxable,Closed,6,Francisco Pérez-Olaeta,USA,Milwaukee,WI,99999,8,Sales Coordinator,laura@northwindtraders.com,2.0,88,Northwind Traders Pears,Canned Fruit & Vegetables,1.3,2,0.15,2.21,2006-03-24 10:57:38,2006-04-23 10:57:38,0.0,0.0,0.0,2006,3,1,2006,3,1,0,March,3,True,Petit
38,Anne Hellung-Larsen,Company BB,2006-03-10 00:00:00,2006-03-11 00:00:00,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,10,0,Check,2006-03-10 00:00:00,Inconnu,0,Non-taxable,Closed,28,Amritansh Raghav,USA,Memphis,TN,99999,9,Sales Representative,anne@northwindtraders.com,3.0,80,Northwind Traders Dried Plums,Dried Fruit & Nuts,3.5,7,0.0,24.5,2006-03-24 10:56:57,2006-04-23 10:56:57,0.0,0.0,0.0,2006,3,1,2006,3,1,4,March,1,True,Petit
38,Anne Hellung-Larsen,Company BB,2006-03-10 00:00:00,2006-03-11 00:00:00,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,10,0,Check,2006-03-10 00:00:00,Inconnu,0,Non-taxable,Closed,28,Amritansh Raghav,USA,Memphis,TN,99999,9,Sales Representative,anne@northwindtraders.com,3.0,6,Northwind Traders Boysenberry Spread,"Jams, Preserves",25.0,6,0.15,127.5,2006-03-24 10:56:57,2006-04-23 10:56:57,0.0,0.0,0.0,2006,3,1,2006,3,1,4,March,1,True,Moyen
38,Anne Hellung-Larsen,Company BB,2006-03-10 00:00:00,2006-03-11 00:00:00,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,10,0,Check,2006-03-10 00:00:00,Inconnu,0,Non-taxable,Closed,28,Amritansh Raghav,USA,Memphis,TN,99999,9,Sales Representative,anne@northwindtraders.com,3.0,72,Northwind Traders Mozzarella,Dairy Products,34.8,1,0.05,33.059999999999995,2006-03-24 10:56:57,2006-04-23 10:56:57,0.0,0.0,0.0,2006,3,1,2006,3,1,4,March,1,True,Petit
39,Jan Kotas,Company H,2006-03-22 00:00:00,2006-03-24 00:00:00,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,5,0,Check,2006-03-22 00:00:00,Inconnu,0,Non-taxable,Closed,8,Elizabeth Andersen,USA,Portland,OR,99999,3,Sales Representative,jan@northwindtraders.com,3.0,48,Northwind Traders Chocolate,Candy,12.75,7,0.0,89.25,2006-03-24 10:55:46,2006-04-23 10:55:46,0.0,0.0,0.0,2006,3,1,2006,3,1,2,March,2,True,Petit
40,Mariya Sergienko,Company J,2006-03-24 00:00:00,2006-03-24 00:00:00,Shipping Company B,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,9,0,Credit Card,2006-03-24 00:00:00,Inconnu,0,Non-taxable,Closed,10,Roland Wacker,USA,Chicago,IL,99999,4,Sales Representative,mariya@northwindtraders.com,2.0,92,Northwind Traders Green Beans,Canned Fruit & Vegetables,1.2,9,0.0,10.8,2006-03-24 10:41:41,2006-04-23 10:41:41,0.0,0.0,0.0,2006,3,1,2006,3,1,4,March,0,True,Petit
40,Mariya Sergienko,Company J,2006-03-24 00:00:00,2006-03-24 00:00:00,Shipping Company B,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,9,0,Credit Card,2006-03-24 00:00:00,Inconnu,0,Non-taxable,Closed,10,Roland Wacker,USA,Chicago,IL,99999,4,Sales Representative,mariya@northwindtraders.com,2.0,43,Northwind Traders Coffee,Beverages,46.0,5,0.05,218.5,2006-03-24 10:41:41,2006-04-23 10:41:41,0.0,0.0,0.0,2006,3,1,2006,3,1,4,March,0,True,Moyen
41,Nancy Freehafer,Company G,2006-03-24 00:00:00,2006-03-24 00:00:00,Inconnu,Ming-Yang Xie,123 7th Street,Boise,ID,99999,USA,0,0,Inconnu,2006-03-24 00:00:00,Inconnu,0,Non-taxable,New,7,Ming-Yang Xie,USA,Boise,ID,99999,1,Sales Representative,nancy@northwindtraders.com,2.0,65,Northwind Traders Hot Pepper Sauce,Sauces,21.05,4,0.05,79.99,2006-03-24 00:00:00,2006-04-23 00:00:00,0.0,0.0,0.0,2006,3,1,2006,3,1,4,March,0,False,Petit
41,Nancy Freehafer,Company G,2006-03-24 00:00:00,2006-03-24 00:00:00,Inconnu,Ming-Yang Xie,123 7th Street,Boise,ID,99999,USA,0,0,Inconnu,2006-03-24 00:00:00,Inconnu,0,Non-taxable,New,7,Ming-Yang Xie,USA,Boise,ID,99999,1,Sales Representative,nancy@northwindtraders.com,2.0,74,Northwind Traders Almonds,Dried Fruit & Nuts,10.0,10,0.1,90.0,2006-03-24 00:00:00,2006-04-23 00:00:00,0.0,0.0,0.0,2006,3,1,2006,3,1,4,March,0,False,Petit
42,Nancy Freehafer,Company J,2006-03-24 00:00:00,2006-04-07 00:00:00,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,0,0,Inconnu,2006-04-04 11:41:14,Inconnu,0,Non-taxable,Shipped,10,Roland Wacker,USA,Chicago,IL,99999,1,Sales Representative,nancy@northwindtraders.com,1.0,14,Northwind Traders Walnuts,Dried Fruit & Nuts,23.25,1,0.1,20.925,2006-04-04 11:41:14,2006-05-04 11:41:14,0.0,0.0,0.0,2006,3,1,2006,3,1,4,March,14,True,Petit
42,Nancy Freehafer,Company J,2006-03-24 00:00:00,2006-04-07 00:00:00,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,0,0,Inconnu,2006-04-04 11:41:14,Inconnu,0,Non-taxable,Shipped,10,Roland Wacker,USA,Chicago,IL,99999,1,Sales Representative,nancy@northwindtraders.com,1.0,43,Northwind Traders Coffee,Beverages,46.0,4,0.05,174.79999999999998,2006-04-04 11:41:14,2006-05-04 11:41:14,0.0,0.0,0.0,2006,3,1,2006,3,1,4,March,14,True,Moyen
42,Nancy Freehafer,Company J,2006-03-24 00:00:00,2006-04-07 00:00:00,Shipping Company A,Roland Wacker,123 10th Street,Chicago,IL,99999,USA,0,0,Inconnu,2006-04-04 11:41:14,Inconnu,0,Non-taxable,Shipped,10,Roland Wacker,USA,Chicago,IL,99999,1,Sales Representative,nancy@northwindtraders.com,1.0,8,Northwind Traders Curry Sauce,Sauces,40.0,9,0.0,360.0,2006-04-04 11:41:14,2006-05-04 11:41:14,0.0,0.0,0.0,2006,3,1,2006,3,1,4,March,14,True,Moyen
43,Nancy Freehafer,Company K,2006-03-24 00:00:00,2006-03-24 00:00:00,Shipping Company C,Peter Krschne,123 11th Street,Miami,FL,99999,USA,0,0,Inconnu,2006-03-24 00:00:00,Inconnu,0,Non-taxable,New,11,Peter Krschne,USA,Miami,FL,99999,1,Sales Representative,nancy@northwindtraders.com,3.0,52,Northwind Traders Long Grain Rice,Grains,7.0,3,0.15,17.849999999999998,2006-03-24 00:00:00,2006-04-23 00:00:00,0.0,0.0,0.0,2006,3,1,2006,3,1,4,March,0,False,Petit
44,Nancy Freehafer,Company A,2006-03-24 00:00:00,2006-03-24 00:00:00,Inconnu,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,0,0,Inconnu,2006-03-24 00:00:00,Inconnu,0,Non-taxable,New,1,Anna Bedecs,USA,Seattle,WA,99999,1,Sales Representative,nancy@northwindtraders.com,2.0,88,Northwind Traders Pears,Canned Fruit & Vegetables,1.3,9,0.0,11.7,2006-03-24 00:00:00,2006-04-23 00:00:00,0.0,0.0,0.0,2006,3,1,2006,3,1,4,March,0,False,Petit
44,Nancy Freehafer,Company A,2006-03-24 00:00:00,2006-03-24 00:00:00,Inconnu,Anna Bedecs,123 1st Street,Seattle,WA,99999,USA,0,0,Inconnu,2006-03-24 00:00:00,Inconnu,0,Non-taxable,New,1,Anna Bedecs,USA,Seattle,WA,99999,1,Sales Representative,nancy@northwindtraders.com,2.0,21,Northwind Traders Scones,Baked Goods & Mixes,10.0,7,0.05,66.5,2006-03-24 00:00:00,2006-04-23 00:00:00,0.0,0.0,0.0,2006,3,1,2006,3,1,4,March,0,False,Petit
45,Nancy Freehafer,Company BB,2006-04-07 00:00:00,2006-04-07 00:00:00,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,40,0,Credit Card,2006-04-07 00:00:00,Inconnu,0,Non-taxable,Closed,28,Amritansh Raghav,USA,Memphis,TN,99999,1,Sales Representative,nancy@northwindtraders.com,3.0,80,Northwind Traders Dried Plums,Dried Fruit & Nuts,3.5,8,0.1,25.2,2006-04-04 11:09:24,2006-05-04 11:09:24,0.0,0.0,0.0,2006,4,2,2006,4,2,4,April,0,True,Petit
45,Nancy Freehafer,Company BB,2006-04-07 00:00:00,2006-04-07 00:00:00,Shipping Company C,Amritansh Raghav,789 28th Street,Memphis,TN,99999,USA,40,0,Credit Card,2006-04-07 00:00:00,Inconnu,0,Non-taxable,Closed,28,Amritansh Raghav,USA,Memphis,TN,99999,1,Sales Representative,nancy@northwindtraders.com,3.0,7,Northwind Traders Dried Pears,Dried Fruit & Nuts,30.0,5,0.1,135.0,2006-04-04 11:09:24,2006-05-04 11:09:24,0.0,0.0,0.0,2006,4,2,2006,4,2,4,April,0,True,Moyen
