OrderID,EmployeeName,CustomerCompany,OrderDate,ShippedDate,ShipperCompany,ShipName,ShipAddress,ShipCity,ShipState,ShipZIP,ShipCountry,ShippingFee,Taxes,PaymentType,PaidDate,Notes,TaxRate,TaxStatus,StatusName,CustomerID,CustomerName,CustomerCountry,CustomerCity,CustomerState,CustomerZIP,EmployeeID,EmployeeTitle,EmployeeEmail,ShipperID,ProductID,ProductName,CategoryName,UnitPrice,Quantity,Discount,LineTotal,InvoiceDate,DueDate,InvoiceTax,InvoiceShipping,AmountDue,OrderYear,OrderMonth,OrderQuarter
30,Anne Hellung-Larsen,Company AA,2006-01-15 00:00:00,2006-01-22,Shipping Company B,Karen Toh,789 27th Street,Las Vegas,NV,99999,USA,200,0,Check,2006-01-15,,0,,Closed,27,Karen Toh,USA,Las Vegas,NV,99999,9,Sales Representative,anne@northwindtraders.com,2.0,1,Northwind Traders Chai,Beverages,18.0,1,0.0,18.0,2006-03-24 11:03:00,,0.0,0.0,0.0,2006,1,1
31,Jan Kotas,Company D,2006-01-20 00:00:00,2006-01-22,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,5,0,Credit Card,2006-01-20,,0,,Closed,4,Christina Lee,USA,New York,NY,99999,3,Sales Representative,jan@northwindtraders.com,1.0,1,Northwind Traders Chai,Beverages,18.0,8,0.05,136.79999999999998,2006-03-22 16:08:59,,0.0,0.0,0.0,2006,1,1
31,Jan Kotas,Company D,2006-01-20 00:00:00,2006-01-22,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,5,0,Credit Card,2006-01-20,,0,,Closed,4,Christina Lee,USA,New York,NY,99999,3,Sales Representative,jan@northwindtraders.com,1.0,3,Northwind Traders Syrup,Condiments,10.0,5,0.1,45.0,2006-03-22 16:08:59,,0.0,0.0,0.0,2006,1,1
31,Jan Kotas,Company D,2006-01-20 00:00:00,2006-01-22,Shipping Company A,Christina Lee,123 4th Street,New York,NY,99999,USA,5,0,Credit Card,2006-01-20,,0,,Closed,4,Christina Lee,USA,New York,NY,99999,3,Sales Representative,jan@northwindtraders.com,1.0,4,Northwind Traders Cajun Seasoning,Condiments,22.0,9,0.0,198.0,2006-03-22 16:08:59,,0.0,0.0,0.0,2006,1,1
32,Mariya Sergienko,Company L,2006-01-22 00:00:00,2006-01-22,Shipping Company B,John Edwards,123 12th Street,Las Vegas,NV,99999,USA,5,0,Credit Card,2006-01-22,,0,,Closed,12,John Edwards,USA,Las Vegas,NV,99999,4,Sales Representative,mariya@northwindtraders.com,2.0,1,Northwind Traders Chai,Beverages,18.0,10,0.1,162.0,2006-03-22 16:10:27,,0.0,0.0,0.0,2006,1,1
32,Mariya Sergienko,Company L,2006-01-22 00:00:00,2006-01-22,Shipping Company B,John Edwards,123 12th Street,Las Vegas,NV,99999,USA,5,0,Credit Card,2006-01-22,,0,,Closed,12,John Edwards,USA,Las Vegas,NV,99999,4,Sales Representative,mariya@northwindtraders.com,2.0,3,Northwind Traders Syrup,Condiments,10.0,3,0.15,25.5,2006-03-22 16:10:27,,0.0,0.0,0.0,2006,1,1
33,Michael Neipper,Company H,2006-01-30 00:00:00,2006-01-31,Shipping Company C,Elizabeth Andersen,123 8th Street,Portland,OR,99999,USA,50,0,Credit Card,2006-01-30,,0,,Closed,8,Elizabeth Andersen,USA,Portland,OR,99999,6,Sales Representative,michael@northwindtraders.com,3.0,1,Northwind Traders Chai,Beverages,18.0,9,0.15,137.7,2006-03-24 11:02:02,,0.0,0.0,0.0,2006,1,1
34,Anne Hellung-Larsen,Company D,2006-02-06 00:00:00,2006-02-07,Shipping Company C,Christina Lee,123 4th Street,New York,NY,99999,USA,4,0,Check,2006-02-06,,0,,Closed,4,Christina Lee,USA,New York,NY,99999,9,Sales Representative,anne@northwindtraders.com,3.0,1,Northwind Traders Chai,Beverages,18.0,10,0.1,162.0,2006-03-24 11:00:55,,0.0,0.0,0.0,2006,2,1
34,Anne Hellung-Larsen,Company D,2006-02-06 00:00:00,2006-02-07,Shipping Company C,Christina Lee,123 4th Street,New York,NY,99999,USA,4,0,Check,2006-02-06,,0,,Closed,4,Christina Lee,USA,New York,NY,99999,9,Sales Representative,anne@northwindtraders.com,3.0,3,Northwind Traders Syrup,Condiments,10.0,6,0.05,57.0,2006-03-24 11:00:55,,0.0,0.0,0.0,2006,2,1
35,Jan Kotas,Company CC,2006-02-10 00:00:00,2006-02-12,Shipping Company B,Soo Jung Lee,789 29th Street,Denver,CO,99999,USA,7,0,Check,2006-02-10,,0,,Closed,29,Soo Jung Lee,USA,Denver,CO,99999,3,Sales Representative,jan@northwindtraders.com,2.0,1,Northwind Traders Chai,Beverages,18.0,2,0.0,36.0,2006-03-24 10:59:41,,0.0,0.0,0.0,2006,2,1
