ID,Company,Last Name,First Name,E-mail Address,Job Title,Business Phone,Home Phone,Mobile Phone,Fax Number,Address,City,State/Province,ZIP/Postal Code,Country/Region,Web Page,Notes,Attachments
1,Supplier A,Andersen,Elizabeth A.,,Sales Manager,,,,,,,,,,,,0
2,Supplier B,Weiler,Cornelia,,Sales Manager,,,,,,,,,,,,0
3,Supplier C,Kelley,Madeleine,,Sales Representative,,,,,,,,,,,,0
4,Supplier D,Sato,Naoki,,Marketing Manager,,,,,,,,,,,,0
5,Supplier E,Hernandez-Echevarria,Amaya,,Sales Manager,,,,,,,,,,,,0
6,Supplier F,Hayakawa,Satomi,,Marketing Assistant,,,,,,,,,,,,0
7,Supplier G,Glasson,Stuart,,Marketing Manager,,,,,,,,,,,,0
8,Supplier H,Dunton,Bryn Paul,,Sales Representative,,,,,,,,,,,,0
9,Supplier I,Sandberg,Mikael,,Sales Manager,,,,,,,,,,,,0
10,Supplier J,Sousa,Luis,,Sales Manager,,,,,,,,,,,,0
